iter,loss
0,0.07263284
1,0.06929377
2,0.06613595
3,0.06318998
4,0.06038788
5,0.05773298
6,0.05521119
7,0.05289538
8,0.05065466
9,0.04858303
10,0.04657644
11,0.04471807
12,0.04293320
13,0.04125139
14,0.03958429
15,0.03806237
16,0.03662551
17,0.03530772
18,0.03403825
19,0.03279477
20,0.03161291
21,0.03056274
22,0.02952757
23,0.02847016
24,0.02759248
25,0.02671055
26,0.02587498
27,0.02503027
28,0.02434328
29,0.02355460
30,0.02288100
31,0.02221796
32,0.02169207
33,0.02112011
34,0.02060172
35,0.02008584
36,0.01951694
37,0.01904636
38,0.01860353
39,0.01818905
40,0.01778708
41,0.01742146
42,0.01707907
43,0.01667497
44,0.01631481
45,0.01600050
46,0.01570031
47,0.01545161
48,0.01518715
49,0.01499577
50,0.01475755
51,0.01453253
52,0.01426355
53,0.01406093
54,0.01385750
55,0.01365849
56,0.01346795
57,0.01327262
58,0.01306473
59,0.01289744
60,0.01273770
61,0.01258518
62,0.01243602
63,0.01228085
64,0.01212196
65,0.01199584
66,0.01190761
67,0.01179180
68,0.01168072
69,0.01157405
70,0.01147153
71,0.01134068
72,0.01124579
73,0.01115449
74,0.01106651
75,0.01098168
76,0.01100137
77,0.01092233
78,0.01084625
79,0.01077188
