iter,loss
0,579.37683105
1,771.15380859
2,699.54315186
3,636.48828125
4,584.93493652
5,544.18664551
6,518.87896729
7,502.63024902
8,488.83654785
9,479.11343384
10,471.36648560
11,464.55017090
12,458.78756714
13,454.46130371
14,450.91662598
15,449.72351074
16,449.24667358
17,448.79959106
18,448.59545898
19,448.12017822
20,447.64648438
21,447.13171387
22,446.57611084
23,446.10729980
24,445.67520142
25,445.43249512
26,444.96624756
27,444.75518799
28,444.20391846
29,443.69268799
30,443.45501709
31,443.04046631
32,442.58224487
33,442.17044067
34,441.94204712
35,441.48617554
36,441.07821655
37,440.84347534
38,440.43728638
39,440.03143311
40,439.42453003
41,439.02340698
42,438.59323120
43,438.19635010
44,437.80200195
45,437.40811157
46,437.23287964
47,436.70855713
48,436.26950073
49,435.88000488
50,435.39572144
51,435.00906372
52,434.77465820
53,434.58511353
54,434.03109741
55,433.57260132
56,433.14450073
57,432.76831055
58,432.34375000
59,431.92111206
60,431.50018311
61,431.11499023
62,430.74734497
63,430.54147339
64,430.28201294
65,429.72290039
66,429.30084229
67,429.15124512
68,428.73977661
69,428.27893066
70,427.87286377
71,427.72015381
72,427.21063232
73,426.83609009
74,426.63571167
75,426.13055420
76,425.78186035
77,425.43383789
78,425.48410034
79,425.13809204
80,424.79382324
81,424.38687134
82,424.04666138
83,423.64682007
84,423.29095459
85,422.93765259
86,422.58544922
87,422.17831421
88,421.82888794
89,421.68783569
90,421.15182495
91,420.64550781
92,420.24789429
93,419.90774536
94,419.56872559
95,419.23110962
96,418.89572144
97,418.52658081
98,418.19583130
99,417.86657715
